,,,SOC,SEI,Power,T,,delta SEI
308,24606,25171,79,1.56E-08,-0.26316,23,1.5556E-08,-4.4000000546E-11
309,24606,25171,79,1.56E-08,-0.15789,23,1.5556E-08,-4.4000000745E-11
310,24606,25171,79,1.56E-08,-0.052632,23,1.5556E-08,-4.4000000030E-11
311,24606,25171,79,1.56E-08,0.052632,23,1.5556E-08,-4.3995521959E-11
312,24606,25171,79,1.56E-08,0.15789,23,,#VALUE!
313,24606,25171,79,1.56E-08,0.26316,23,,#VALUE!
314,24606,25171,79,1.56E-08,0.36842,23,1.5556E-08,-4.3995147940E-11
315,24606,25171,79,1.56E-08,0.47368,23,1.5556E-08,-4.3995013790E-11
316,24606,25171,79,1.56E-08,0.57895,23,1.5556E-08,-4.3994875667E-11
317,24606,25171,79,1.56E-08,0.68421,23,1.5556E-08,-4.3994731869E-11
318,24606,25171,79,1.56E-08,0.78947,23,1.5556E-08,-4.3994583369E-11
319,24606,25171,79,1.56E-08,0.89474,23,1.5556E-08,-4.3994428163E-11
320,24606,25171,79,1.56E-08,1,23,1.5556E-08,-4.3994269510E-11
321,24606,25171,79,1.67E-08,-1,23,,#VALUE!
322,24606,25171,79,1.67E-08,-0.89474,23,,#VALUE!
323,24606,25171,79,1.67E-08,-0.78947,23,1.6667E-08,-3.3000000673E-11
324,24606,25171,79,1.67E-08,-0.68421,23,1.6667E-08,-3.2999999936E-11
325,24606,25171,79,1.67E-08,-0.57895,23,1.6667E-08,-3.3000000343E-11
326,24606,25171,79,1.67E-08,-0.47368,23,,#VALUE!
327,24606,25171,79,1.67E-08,-0.36842,23,1.6667E-08,-3.3000000424E-11
328,24606,25171,79,1.67E-08,-0.26316,23,1.6667E-08,-3.3000001321E-11
329,24606,25171,79,1.67E-08,-0.15789,23,1.6667E-08,-3.3000000281E-11
330,24606,25171,79,1.67E-08,-0.052632,23,1.6667E-08,-3.2999999993E-11
331,24606,25171,79,1.67E-08,0.052632,23,1.6667E-08,-3.2995523571E-11
332,24606,25171,79,1.67E-08,0.15789,23,,#VALUE!
333,24606,25171,79,1.67E-08,0.26316,23,,#VALUE!
334,24606,25171,79,1.67E-08,0.36842,23,1.6667E-08,-3.2995160410E-11
335,24606,25171,79,1.67E-08,0.47368,23,1.6667E-08,-3.2995030396E-11
336,24606,25171,79,1.67E-08,0.57895,23,1.6667E-08,-3.2994896148E-11
337,24606,25171,79,1.67E-08,0.68421,23,,#VALUE!
338,24606,25171,79,1.67E-08,0.78947,23,1.6667E-08,-3.2994613292E-11
